doi,title,first_author,year,journal,source,file,oa_status,added_by,added_at
10.1038/s41598-024-72088-6,Endurance exercise-induced histone methylation modification involved in skeletal muscle fiber type transition and mitochondrial biogenesis,Jialin Li,2024,Scientific Reports,hargreaves2020,2024_Jialin-Li_W4402405846.pdf,gold,team,2026-06-05
10.3389/fnhum.2024.1406670,Effects and neural mechanisms of different physical activity on major depressive disorder based on cerebral multimodality monitoring: a narrative review,Jian Guan,2024,Frontiers in Human Neuroscience,hargreaves2020,2024_Jian-Guan_W4401499636.pdf,gold,team,2026-06-05
10.1080/13510002.2024.2347139,Skeletal muscle cystathionine γ-lyase deficiency promotes obesity and insulin resistance and results in hyperglycemia and skeletal muscle injury upon HFD in mice,Jiani Lu,2024,Redox Report,hargreaves2020,2024_Jiani-Lu_W4396728912.pdf,gold,team,2026-06-05
10.1016/j.tem.2024.04.005,MCU genetically altered mice suggest how mitochondrial Ca2+ regulates metabolism,Jiuzhou Huo,2024,Trends in Endocrinology and Metabolism,hargreaves2020,2024_Jiuzhou-Huo_W4396231571.pdf,green,team,2026-06-05
10.3390/physiologia4020014,Citrulline Malate Fails to Improve Repeated 300 m Swimming Times in Highly Trained Swimmers,Josh W. Newbury,2024,Physiologia,hargreaves2020,2024_Josh-W-Newbury_W4399668360.pdf,diamond,team,2026-06-05
10.1016/j.tem.2024.12.004,Sex- and endurance training-mediated cardiovascular protection through lipids during exercise,Julia An,2024,Trends in Endocrinology and Metabolism,hargreaves2020,2024_Julia-An_W4405963466.pdf,green,team,2026-06-05
10.1093/pnasnexus/pgae210,Hyperbaric oxygen treatment reveals spatiotemporal OXPHOS plasticity in the porcine heart,Juliana Heidler,2024,PNAS Nexus,hargreaves2020,2024_Juliana-Heidler_W4399165093.pdf,gold,team,2026-06-05
10.3390/sports12070188,Muscle Changes during Direct Attack under Different Conditions in Elite Wheelchair Fencing,Julio Martín-Ruiz,2024,Sports,hargreaves2020,2024_Julio-Mart-n-Ruiz_W4400486834.pdf,gold,team,2026-06-05
10.1007/s10068-024-01718-6,Sinapine suppresses ROS-induced C2C12 myoblast cell death through MAPK and autophagy pathways,Jung Hyun Kang,2024,Food Science and Biotechnology,hargreaves2020,2024_Jung-Hyun-Kang_W4402988651.pdf,green,team,2026-06-05
10.3390/jfmk9020104,Comparative Bilateral Measurements of Vastus Lateralis Muscle Oxygen Desaturation Kinetics during 30 S Sprint Cycling Exercise: Effects of Age and Performance,Karmen Reinpõld,2024,Journal of Functional Morphology and Kinesiology,hargreaves2020,2024_Karmen-Reinp-ld_W4399679402.pdf,gold,team,2026-06-05
